id,latitude,longitude,neighbourhood_cleansed,room_type,property_type,accommodates,bedrooms,bathrooms_num,minimum_nights,price_eur,review_scores_rating,number_of_reviews,unavailable_rate_90d
37709280,52.60417,13.42446,Buchholz,Entire home/apt,Entire guesthouse,4,1.0,1.0,2,66.0,4.91,120,1.0
37734165,52.54102,13.37082,Brunnenstr. Nord,Entire home/apt,Entire rental unit,8,4.0,2.0,3,202.0,4.86,258,1.0
37737152,52.53212,13.37928,Alexanderplatz,Entire home/apt,Entire rental unit,4,0.0,1.0,3,171.0,4.85,162,0.0
37745642,52.50687,13.46765,Frankfurter Allee Süd FK,Private room,Private room in rental unit,2,1.0,1.0,1,57.0,4.98,111,0.0
37778821,52.53198,13.43623,Prenzlauer Berg Süd,Private room,Private room in rental unit,2,1.0,1.0,92,91.0,4.33,3,0.0
37800166,52.53406,13.3814,Brunnenstr. Süd,Entire home/apt,Entire loft,2,0.0,1.0,3,96.0,4.73,113,0.0
37802777,52.57186,13.28207,West 1,Private room,Private room in rental unit,2,2.0,1.0,2,65.0,4.88,42,1.0
37826661,52.5171012,13.2793125,Westend,Private room,Private room in home,2,1.0,1.0,2,62.0,4.75,12,1.0
37831600,52.48339,13.42912,Neuköllner Mitte/Zentrum,Private room,Private room in rental unit,2,1.0,1.0,3,68.0,4.97,59,1.0
37837921,52.4985,13.46181,Frankfurter Allee Süd FK,Private room,Private room in rental unit,4,1.0,1.0,1,89.0,4.82,309,0.06593406593406592
37847588,52.47317,13.38087,Tempelhof,Private room,Private room in home,1,1.0,1.0,5,51.0,4.93,84,0.0
37879155,52.49783,13.43778,südliche Luisenstadt,Private room,Private room in rental unit,2,1.0,1.5,3,93.0,4.85,89,1.0
37899742,52.51089,13.40452,Regierungsviertel,Entire home/apt,Entire rental unit,3,2.0,1.0,4,81.0,4.8,104,1.0
37926221,52.53148,13.38848,Brunnenstr. Süd,Entire home/apt,Entire serviced apartment,2,0.0,1.0,7,275.0,4.78,9,0.0
37930085,52.53148,13.38848,Brunnenstr. Süd,Entire home/apt,Entire serviced apartment,2,0.0,1.0,4,290.0,4.91,35,0.0
37953223,52.45886,13.37841,Tempelhof,Entire home/apt,Entire rental unit,2,1.0,1.0,29,125.0,4.36,11,1.0
37962902,52.46613,13.43495,Neuköllner Mitte/Zentrum,Entire home/apt,Entire rental unit,3,1.0,1.0,92,87.0,4.8,5,1.0
37983963,52.55336,13.41671,Prenzlauer Berg Nord,Private room,Private room in rental unit,1,1.0,1.0,94,42.0,4.8,5,1.0
38038108,52.50687,13.45682,Frankfurter Allee Süd FK,Entire home/apt,Entire rental unit,2,1.0,1.0,5,90.0,4.74,27,1.0
38052448,52.51118,13.29688,Schloß Charlottenburg,Entire home/apt,Entire rental unit,2,1.0,1.0,92,99.0,5.0,2,0.0
38086123,52.5436,13.43942,Prenzlauer Berg Nord,Entire home/apt,Entire rental unit,4,1.0,1.0,92,60.0,4.38,13,0.0
38095454,52.52576,13.39618,Alexanderplatz,Private room,Private room in loft,5,2.0,1.0,92,120.0,4.85,0,0.0
38167431,52.54251,13.42416,Helmholtzplatz,Entire home/apt,Entire rental unit,2,0.0,1.0,92,88.0,4.67,3,0.0
38178174,52.53677,13.42757,Prenzlauer Berg Süd,Private room,Private room in rental unit,1,1.0,1.0,92,79.0,5.0,12,1.0
38185743,52.51079662143465,13.243209833403892,Heerstrasse,Entire home/apt,Entire rental unit,2,1.0,1.0,2,200.0,4.0,1,1.0
38222150,52.50478,13.47182,Neu Lichtenberg,Shared room,Shared room in rental unit,1,1.0,1.0,92,28.0,5.0,2,0.0
38274375,52.54262,13.37069,Brunnenstr. Nord,Entire home/apt,Entire rental unit,3,2.0,1.0,92,69.0,5.0,1,0.0
38277389,52.52648,13.41611,Alexanderplatz,Entire home/apt,Entire rental unit,2,1.0,1.0,4,90.0,4.69,13,0.9340659340659341
38343024,52.42428,13.57449,Grünau,Entire home/apt,Entire rental unit,3,1.0,1.0,2,78.0,4.52,79,0.0
38343048,52.42426,13.57416,Grünau,Entire home/apt,Entire rental unit,3,1.0,1.0,2,77.0,4.58,60,0.0
38343050,52.42618,13.57367,Grünau,Entire home/apt,Entire rental unit,3,1.0,1.0,2,78.0,4.63,84,0.0
38354602,52.51859,13.4356,Karl-Marx-Allee-Nord,Private room,Private room in rental unit,2,0.0,1.0,92,172.0,4.85,0,1.0
38389171,52.54996,13.4575,Weißensee,Entire home/apt,Entire guest suite,4,1.0,1.0,5,89.0,4.79,143,1.0
38403309,52.51769341575453,13.460187625988729,Frankfurter Allee Nord,Entire home/apt,Entire rental unit,3,1.0,1.0,92,100.0,4.85,0,0.0
38404991,52.50143,13.46091,Frankfurter Allee Süd FK,Private room,Private room in rental unit,2,1.0,1.0,2,66.0,4.95,83,1.0
38427137,52.48688,13.32171,Barstraße,Entire home/apt,Entire rental unit,2,1.0,1.0,92,55.0,5.0,1,0.0
